Station,Route,Lanes,Months Used,Count Date,Direction,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Latitude,Longitude,Location 1,NYS Municipal Boundaries,New York Zip Codes,Counties
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/13/2013,NORTH,81,13508,3196,29,611,284,25,54,244,7,13,2,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/13/2013,SOUTH,105,15538,3686,47,739,340,26,62,223,7,17,1,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/12/2013,NORTH,55,13046,3131,30,600,283,24,62,205,9,7,1,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/12/2013,SOUTH,92,14664,3385,44,622,320,29,61,218,7,6,0,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/11/2013,SOUTH,113,13770,2881,23,466,276,9,55,176,7,1,0,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/11/2013,NORTH,89,11497,2643,28,445,240,19,42,191,7,5,1,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/08/2013,SOUTH,130,17854,3639,45,734,394,27,60,231,5,7,1,4,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/08/2013,NORTH,107,14755,3254,36,639,310,37,56,228,8,7,2,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/07/2013,SOUTH,90,15602,3639,37,693,294,22,53,230,8,6,3,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/07/2013,NORTH,95,13778,3222,37,665,248,15,61,215,10,9,4,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
